auto_schedule_id,id,provider_code,site_code,plan_date,plan_hour,capacity,import_reserved_capacity,allocated_capacity,cache_freed_capacity,retry_reserved_capacity,total_capacity,available_for_utilization,sending,total_reserved,cache_free_pct,import_resv_pct,retry_resv_pct,net_utilization_pct,hour_utilization_pct,plan_datetime,label
3420,12,Dummy,Vanilla,20251126,0,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 00:00:00,Dummy | Vanilla
3420,63,Dummy,Retry,20251126,0,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 00:00:00,Dummy | Retry
3420,13,Dummy,Vanilla,20251126,1,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 01:00:00,Dummy | Vanilla
3420,64,Dummy,Retry,20251126,1,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 01:00:00,Dummy | Retry
3420,65,Dummy,Retry,20251126,2,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 02:00:00,Dummy | Retry
3420,14,Dummy,Vanilla,20251126,2,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 02:00:00,Dummy | Vanilla
3420,66,Dummy,Retry,20251126,3,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 03:00:00,Dummy | Retry
3420,15,Dummy,Vanilla,20251126,3,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 03:00:00,Dummy | Vanilla
3420,16,Dummy,Vanilla,20251126,4,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 04:00:00,Dummy | Vanilla
3420,67,Dummy,Retry,20251126,4,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 04:00:00,Dummy | Retry
3420,17,Dummy,Vanilla,20251126,5,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 05:00:00,Dummy | Vanilla
3420,68,Dummy,Retry,20251126,5,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 05:00:00,Dummy | Retry
3420,18,Dummy,Vanilla,20251126,6,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 06:00:00,Dummy | Vanilla
3420,69,Dummy,Retry,20251126,6,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 06:00:00,Dummy | Retry
3420,19,Dummy,Vanilla,20251126,7,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 07:00:00,Dummy | Vanilla
3420,70,Dummy,Retry,20251126,7,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 07:00:00,Dummy | Retry
3420,20,Dummy,Vanilla,20251126,8,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 08:00:00,Dummy | Vanilla
3420,71,Dummy,Retry,20251126,8,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 08:00:00,Dummy | Retry
3420,72,Dummy,Retry,20251126,9,10000000,0,120,0,0,10000000,10000000,120,120,0.0,0.0,0.0,0.0012,0.0012,2025-11-26 09:00:00,Dummy | Retry
